depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.0,lowrank,1.1315226720178038,1.091800302922903,1.0929086745132883
0,2,0.0,lowrank,1.1315226720178038,1.5708182867078067,1.556224642367064
0,3,0.0,lowrank,1.1315226720178038,1.5369927327883295,1.5218058980569846
0,4,0.0,lowrank,1.1315226720178038,1.531579589425959,1.5218296820748143
0,5,0.0,lowrank,1.1315226720178038,1.5316646733250832,1.5218087518694037
1,1,0.0,lowrank,1.1762585933403624,1.089749261443937,1.090628904629853
1,2,0.0,lowrank,1.2438436386270564,1.2568129256970273,1.25535817243362
1,3,0.0,lowrank,1.2438436386270564,1.4990328453174055,1.474072598786902
1,4,0.0,lowrank,1.2438436386270564,1.5133209420789198,1.4740708441388481
1,5,0.0,lowrank,1.2124887510451345,1.6658274733232548,1.6490453921215067
2,1,0.0,lowrank,1.1598116435121797,0.5750515064496076,0.5747772182564874
2,2,0.0,lowrank,1.2711865503558544,0.45595353104571007,0.4585262329677652
2,3,0.0,lowrank,1.2711865503558544,0.41942760475692353,0.4217245621042156
2,4,0.0,lowrank,1.2711865503558544,0.41379592447670555,0.4217194253242286
2,5,0.0,lowrank,1.4608239899508166,1.5526854243991606,1.063530462435053
3,1,0.0,lowrank,1.134529378176238,0.8130495392807812,0.8124374699070076
3,2,0.0,lowrank,1.5062550464440523,0.5756837013656129,0.5803044969034414
3,3,0.0,lowrank,1.5062550464440523,0.47966118476790215,0.5803053508605955
3,4,0.0,lowrank,1.5062550464440523,0.48110431971065953,0.5825150651576475
3,5,0.0,lowrank,1.5230558509310277,0.4791486846910047,0.5610254541944342
4,1,0.0,lowrank,0.9711586695033833,0.5272982696267199,0.5230545443236425
4,2,0.0,lowrank,1.3099843944348195,0.9563797173261359,0.8257521455859691
4,3,0.0,lowrank,1.3099843944348195,0.9351320003544413,0.8226321455166825
4,4,0.0,lowrank,1.6449602385217916,0.8631847974139794,1.3453569960313347
4,5,0.0,lowrank,1.6734952706864488,0.7117846947898168,0.909841026785401
