depth,rank,noise_var,SM,MSE_mean,MSE_cp,MSE_tucker
0,1,0.0,variance,1.1315226720178038,1.0918002971028355,1.092910819437625
0,2,0.0,variance,1.1315226720178038,1.5708182867078067,1.556224642367064
0,3,0.0,variance,1.1315226720178038,1.5369927327883295,1.5218058980569846
0,4,0.0,variance,1.1315226720178038,1.531579589425959,1.5218296820748143
0,5,0.0,variance,1.1315226720178038,1.5316646733250832,1.5218087518694037
1,1,0.0,variance,1.2438436386270564,1.087976462850418,1.089063420683799
1,2,0.0,variance,1.2438436386270564,1.2568129256970273,1.25535817243362
1,3,0.0,variance,1.2438436386270564,1.4990328453174055,1.474072598786902
1,4,0.0,variance,1.2438436386270564,1.5133209420789198,1.4740708441388481
1,5,0.0,variance,1.2438436386270564,1.5133158350192808,1.4740593894707164
2,1,0.0,variance,1.4211064057968223,0.46694834849141614,0.46658743220769316
2,2,0.0,variance,1.4211064057968223,0.5230631997459702,0.5181988189043214
2,3,0.0,variance,1.4211064057968223,0.5237385931154569,0.5181976551945191
2,4,0.0,variance,1.4211064057968223,0.5271085243595527,0.5188883011340369
2,5,0.0,variance,1.4211064057968223,0.5271085246412919,0.5181248493167476
3,1,0.0,variance,0.6314064144164204,0.5375318026383417,0.5366410490203618
3,2,0.0,variance,0.6314064144164204,0.45078904923372304,0.4555724056665624
3,3,0.0,variance,0.6314064144164204,0.3498171477427438,0.3655333677768471
3,4,0.0,variance,0.6314064144164204,0.3552555365982919,0.3655313150102905
3,5,0.0,variance,0.6314064144164204,0.3552553013705167,0.36553966370105523
4,1,0.0,variance,0.46564589887885893,0.5063173105863649,0.4750538596565856
4,2,0.0,variance,0.46564589887885893,0.39627782863626665,0.39894024939840267
4,3,0.0,variance,0.46564589887885893,0.3713870311109321,0.40914099709492896
4,4,0.0,variance,0.46564589887885893,0.37139686061980615,0.4091390529079683
4,5,0.0,variance,0.46564589887885893,0.37142200683424936,0.40913613171527285
