,sample size,TT_mean_Depth_0,TT_CP_Depth_0,TT_Tucker_Depth_0,TT_mean_prune_Depth_0,TT_CP_prune_Depth_0,TT_Tucker_prune_Depth_0,TT_mean_Depth_1,TT_CP_Depth_1,TT_Tucker_Depth_1,TT_mean_prune_Depth_1,TT_CP_prune_Depth_1,TT_Tucker_prune_Depth_1,TT_mean_Depth_2,TT_CP_Depth_2,TT_Tucker_Depth_2,TT_mean_prune_Depth_2,TT_CP_prune_Depth_2,TT_Tucker_prune_Depth_2,TT_mean_Depth_3,TT_CP_Depth_3,TT_Tucker_Depth_3,TT_mean_prune_Depth_3,TT_CP_prune_Depth_3,TT_Tucker_prune_Depth_3,TT_mean_Depth_4,TT_CP_Depth_4,TT_Tucker_Depth_4,TT_mean_prune_Depth_4,TT_CP_prune_Depth_4,TT_Tucker_prune_Depth_4,TT_mean_Depth_5,TT_CP_Depth_5,TT_Tucker_Depth_5,TT_mean_prune_Depth_5,TT_CP_prune_Depth_5,TT_Tucker_prune_Depth_5,TT_mean_Depth_6,TT_CP_Depth_6,TT_Tucker_Depth_6,TT_mean_prune_Depth_6,TT_CP_prune_Depth_6,TT_Tucker_prune_Depth_6,GPST-low,GPST-high,GPST-Hard,GP,CP,Tucker
0,100,1.0742788314819336,1.0759708881378174,1.075943946838379,1.0827434062957764,2.1840646266937256,6.561227560043335,19.91313910484314,19.91898798942566,19.920674085617065,14.641312599182127,27.02889132499695,26.907203197479248,28.58805751800537,28.59362864494324,28.595274448394772,13.31161642074585,27.203287839889526,27.21356081962585,23.77976131439209,23.78559827804565,23.787510633468628,24.133971452713013,47.99566459655762,48.74126434326172,38.43167161941528,38.43774461746216,38.439759731292725,39.05968904495239,82.00934171676636,82.10351490974426,73.55279111862183,73.55907225608826,73.56073570251465,77.59345555305481,158.81209063529968,145.43477749824524,105.9082486629486,105.9149205684662,105.9146614074707,99.50775718688963,207.0932273864746,206.9037961959839,237.64756393432617,132.0999846458435,119.95889711380003,39.41561031341553,1.354177951812744,1.0940141677856443
1,200,4.885799884796143,4.89561128616333,4.895780324935913,4.614320278167725,9.286919355392456,9.04377508163452,10.599981307983398,10.61208987236023,10.612568855285645,9.501718521118164,19.865978002548218,19.14927387237549,18.736220121383667,18.748961448669437,18.74981045722961,17.1525981426239,36.5842809677124,36.39950895309448,32.014095067977905,32.026285886764526,32.02671432495117,31.70687508583069,66.71516180038452,66.33632373809814,54.224135875701904,54.23764681816101,54.23818516731262,51.65358901023865,105.28303813934326,104.15287446975708,94.04265522956848,94.05674719810486,94.05741453170776,97.02746152877808,191.71691012382507,189.2678084373474,153.13747692108154,153.15156173706055,153.1521828174591,151.61013770103455,307.1194381713867,306.110143661499,259.78998374938965,123.52504253387453,141.13739585876465,35.037081241607666,1.4458374977111816,1.57384991645813
2,400,7.999239206314087,8.018258571624756,8.018471002578735,7.277862787246704,14.695722341537476,14.365283012390137,15.37452483177185,15.397277593612673,15.39555048942566,14.247168779373167,30.425382614135746,27.779114723205566,28.10976505279541,28.147605419158936,28.126940727233887,26.677180290222168,50.49982714653015,51.77412295341492,48.439046144485474,48.462889194488525,48.462409019470215,46.57591700553894,96.75274276733398,94.76230216026306,74.08274292945862,74.10936164855957,74.10706424713135,71.8244149684906,143.00324487686157,144.60191988945007,116.53391027450562,116.56190586090088,116.55939483642578,119.6242880821228,235.3401291370392,233.38158893585205,218.29147934913635,218.31998538970947,218.31764912605288,200.3180959224701,400.87856674194336,400.6606183052063,447.7508852481842,436.00571489334106,425.7283174991608,44.94406867027283,5.424915790557861,2.663947343826294
3,800,14.260533332824709,14.302411079406738,14.302253723144531,14.040697813034058,28.41864585876465,28.48392653465271,29.120616674423218,29.165167093276978,29.16487407684326,28.43065810203552,57.88186717033386,57.10448503494263,44.32742667198181,44.37377429008484,44.371042251586914,46.64756512641907,94.30195140838624,93.35880041122437,69.41891765594482,69.46783328056335,69.46146893501282,70.82089757919312,139.7864954471588,141.41724801063538,97.42971634864809,97.47978115081789,97.47059226036072,101.72685647010805,203.1888654232025,197.1184453964233,151.53775572776794,151.60031938552856,151.57414078712463,151.10639119148254,304.69307255744934,304.1875047683716,215.20197296142575,215.2584581375122,215.2380485534668,219.1365041732788,433.54791474342346,440.3556480407715,348.75766682624817,151.10712456703186,165.74160075187683,80.58184933662415,11.512232542037964,5.792217016220093
4,1600,31.030341148376465,31.11710548400879,31.08061909675598,30.620161533355716,61.69118881225586,54.34688425064087,61.74178576469421,61.82950806617737,61.79539251327515,42.041752576828,105.73393511772156,94.5425477027893,91.34833431243896,91.44164037704468,91.3992085456848,97.3328983783722,187.94089365005493,187.39708161354065,119.91086220741272,120.0077793598175,119.96454429626463,120.63121891021729,240.9460110664368,244.22997975349423,179.35290098190308,179.4514980316162,179.41046977043152,179.7334864139557,360.6687345504761,346.3060255050659,254.14274621009827,254.23949909210205,254.1966528892517,249.5953624248505,503.8726887702942,493.9456799030304,356.42307901382446,356.5201888084412,356.4789564609528,357.80972385406494,725.1312265396118,707.711633682251,896.6105904579163,393.3748238086701,486.1951901912689,174.24177932739258,21.752583026885983,10.600780963897703
5,2000,37.28334975242615,37.38510775566101,37.34554195404053,36.791059255599976,74.69537210464478,58.357956409454346,64.29657435417175,64.4191381931305,64.35754132270813,59.29958391189575,120.1619110107422,130.86351537704468,114.34116792678832,114.44911050796507,114.40129113197328,107.9426896572113,228.20961332321167,202.57332968711853,157.19032073020935,157.3011977672577,157.25202584266663,148.77113723754883,312.4261498451233,310.8789410591125,208.3132462501526,208.4255211353302,208.37368202209475,207.775514125824,426.4565324783325,430.7578468322754,297.5454635620117,297.64809465408325,297.6084761619568,287.952356338501,574.7725501060486,575.1824798583984,408.21716141700745,408.3199105262756,408.2813742160797,410.2286098003388,829.7716519832611,825.4802620410919,1732.203430891037,2449.449691057205,2448.644539117813,265.2308077812195,26.298221349716187,14.229819059371948
6,2400,45.54212403297424,45.67114186286926,45.61576294898987,44.33567094802856,90.21558380126952,65.08986973762512,106.55348134040833,106.67893815040588,106.62466311454772,83.11213946342468,194.3081650733948,191.3887689113617,175.3302915096283,175.4507737159729,175.4032940864563,115.06408739089966,260.6056332588196,257.8127648830414,168.34297919273376,168.47695660591123,168.41721558570862,175.76235485076904,369.557683467865,344.3287658691406,255.41233587265012,255.52709817886355,255.48275208473208,250.42499828338623,494.6456913948059,512.2535676956177,324.3900671005249,324.5028176307678,324.4585750102997,345.5723161697388,666.776849269867,674.4323658943176,456.5433297157288,456.6565089225769,456.6174037456513,462.7006959915161,938.745804309845,947.6265540122986,106.21447157859802,98.5287561416626,4120.7232837677,510.8111612796784,32.87460923194885,15.328364372253418
7,2800,53.419376850128174,53.55281662940979,53.49602866172791,51.048954010009766,102.11638259887695,102.77041482925416,105.12048363685608,105.26457023620604,105.1964955329895,93.43496656417848,190.31066274642944,193.34492182731628,154.56618809700012,154.69127249717712,154.64347767829895,157.51199650764465,308.67313146591187,323.0860412120819,217.12374901771545,217.25416707992557,217.23349356651303,224.47231125831604,445.4507896900177,443.2909870147705,256.8852105140686,257.00631380081177,256.9595613479614,265.58890557289124,532.437225818634,530.8906309604645,336.04676270484924,336.1689805984497,336.1208703517914,326.9522867202759,650.4470646381378,658.6325476169586,441.6228473186493,441.7450997829437,441.7018368244171,463.37396264076233,914.396898508072,921.4875979423524,2521.289434671402,5393.4457223415375,5393.572734594345,678.0557241439819,35.965097427368164,18.62218475341797
8,3200,61.26614427566528,61.41529965400696,61.35391402244568,59.52475357055664,109.90178346633913,118.8517360687256,125.0636351108551,125.21074652671814,125.15301847457886,128.17611050605774,257.59213733673096,257.0620024204254,159.94023895263672,160.08280444145203,160.0268943309784,186.8938958644867,374.51640605926514,377.87222123146057,223.9190945625305,224.0603485107422,224.00650024414065,259.85080003738403,505.9394357204437,510.873574256897,300.5164546966553,300.65970063209534,300.6061592102051,331.33530735969543,666.18763422966,660.7177314758301,432.8424563407898,432.9837625026703,432.9354314804077,448.23085021972656,892.7027609348297,885.1961557865143,601.2215378284454,601.3548221588135,601.3135390281677,605.091864824295,1205.6697089672089,1199.6668996810913,7001.277429819107,7038.432047128677,2238.5809564590454,1398.429930686951,38.1099967956543,20.76971554756165
9,3600,67.09601140022278,67.25178337097168,67.18880319595337,60.267908334732056,126.62226176261902,126.12415504455566,140.33691596984863,140.4936590194702,140.4307017326355,134.17756295204163,280.3400149345398,278.8028383255005,180.2041041851044,180.3590772151947,180.2993528842926,208.7146520614624,411.1119110584259,421.5341742038727,280.0744481086731,280.22335982322693,280.1670300960541,281.6792163848877,565.9136958122253,542.8779118061066,348.6088297367096,348.76211047172546,348.7051124572754,359.6682891845703,728.923168182373,720.2651357650757,435.5441944599152,435.6864869594574,435.6381938457489,482.7018096446991,952.5251669883728,958.6993265151978,631.8799955844879,632.0209381580353,631.974057674408,618.9741253852844,1228.9869995117188,1254.2175889015198,5353.8994576931,10039.786482334135,9913.594040632248,1253.775211572647,40.02845406532288,23.719030380249023
